# Date | Time (NJ) | Team 1 | Team 2 | Venue | Result | Winning Team | Winning Users | Result |
Thu May 30, 2019 | 5:30 AM | England | South Africa | Kennington Oval, London | NotPlayedYet |
Fri May 31, 2019 | 5:30 AM | Windies | Pakistan | Trent Bridge, Nottingham | NotPlayedYet |
Sat Jun 01, 2019 | 5:30 AM | New Zealand | Sri Lanka | Sophia Gardens, Cardiff | NotPlayedYet |
Sat Jun 01, 2019 | 8:30 AM | Afghanistan | Australia | County Ground, Bristol | NotPlayedYet |
Sun Jun 02, 2019 | 5:30 AM | South Africa | Bangladesh | Kennington Oval, London | NotPlayedYet |
Mon Jun 03, 2019 | 5:30 AM | England | Pakistan | Trent Bridge, Nottingham | NotPlayedYet |
Tue Jun 04, 2019 | 5:30 AM | Afghanistan | Sri Lanka | Sophia Gardens, Cardiff | NotPlayedYet |
Wed Jun 05, 2019 | 5:30 AM | South Africa | India | The Rose Bowl, Southampton | NotPlayedYet |
Wed Jun 05, 2019 | 8:30 AM | Bangladesh | New Zealand | Kennington Oval, London | NotPlayedYet |
Thu Jun 06, 2019 | 5:30 AM | Australia | Windies | Trent Bridge, Nottingham | NotPlayedYet |
Fri Jun 07, 2019 | 5:30 AM | Pakistan | Sri Lanka | County Ground, Bristol | NotPlayedYet |
Sat Jun 08, 2019 | 5:30 AM | England | Bangladesh | Sophia Gardens, Cardiff | NotPlayedYet |
Sat Jun 08, 2019 | 8:30 AM | Afghanistan | New Zealand | The Cooper Associates County Ground, Taunton | NotPlayedYet |
Sun Jun 09, 2019 | 5:30 AM | India | Australia | Kennington Oval, London | NotPlayedYet |
Mon Jun 10, 2019 | 5:30 AM | South Africa | Windies | The Rose Bowl, Southampton | NotPlayedYet |
Tue Jun 11, 2019 | 5:30 AM | Bangladesh | Sri Lanka | County Ground, Bristol | NotPlayedYet |
Wed Jun 12, 2019 | 5:30 AM | Australia | Pakistan | The Cooper Associates County Ground, Taunton | NotPlayedYet |
Thu Jun 13, 2019 | 5:30 AM | India | New Zealand | Trent Bridge, Nottingham | NotPlayedYet |
Fri Jun 14, 2019 | 5:30 AM | England | Windies | The Rose Bowl, Southampton | NotPlayedYet |
Sat Jun 15, 2019 | 5:30 AM | Sri Lanka | Australia | Kennington Oval, London | NotPlayedYet |
Sat Jun 15, 2019 | 8:30 AM | South Africa | Afghanistan | Sophia Gardens, Cardiff | NotPlayedYet |
Sun Jun 16, 2019 | 5:30 AM | India | Pakistan | Old Trafford, Manchester | NotPlayedYet |
Mon Jun 17, 2019 | 5:30 AM | Windies | Bangladesh | The Cooper Associates County Ground, Taunton | NotPlayedYet |
Tue Jun 18, 2019 | 5:30 AM | England | Afghanistan | Old Trafford, Manchester | NotPlayedYet |
Wed Jun 19, 2019 | 5:30 AM | New Zealand | South Africa | Edgbaston, Birmingham | NotPlayedYet |
Thu Jun 20, 2019 | 5:30 AM | Australia | Bangladesh | Trent Bridge, Nottingham | NotPlayedYet |
Fri Jun 21, 2019 | 5:30 AM | England | Sri Lanka | Headingley, Leeds | NotPlayedYet |
Sat Jun 22, 2019 | 5:30 AM | India | Afghanistan | The Rose Bowl, Southampton | NotPlayedYet |
Sat Jun 22, 2019 | 8:30 AM | Windies | New Zealand | Old Trafford, Manchester | NotPlayedYet |
Sun Jun 23, 2019 | 5:30 AM | Pakistan | South Africa | Lord's, London | NotPlayedYet |
Mon Jun 24, 2019 | 5:30 AM | Bangladesh | Afghanistan | The Rose Bowl, Southampton | NotPlayedYet |
Tue Jun 25, 2019 | 5:30 AM | England | Australia | Lord's, London | NotPlayedYet |
Wed Jun 26, 2019 | 5:30 AM | New Zealand | Pakistan | Edgbaston, Birmingham | NotPlayedYet |
Thu Jun 27, 2019 | 5:30 AM | Windies | India | Old Trafford, Manchester | NotPlayedYet |
Fri Jun 28, 2019 | 5:30 AM | Sri Lanka | South Africa | Riverside Ground, Chester-le-Street | NotPlayedYet |
Sat Jun 29, 2019 | 5:30 AM | Pakistan | Afghanistan | Headingley, Leeds | NotPlayedYet |
Sat Jun 29, 2019 | 8:30 AM | New Zealand | Australia | Lord's, London | NotPlayedYet |
Sun Jun 30, 2019 | 5:30 AM | England | India | Edgbaston, Birmingham | NotPlayedYet |
Mon Jul 01, 2019 | 5:30 AM | Sri Lanka | Windies | Riverside Ground, Chester-le-Street | NotPlayedYet |
Tue Jul 02, 2019 | 5:30 AM | Bangladesh | India | Edgbaston, Birmingham | NotPlayedYet |
Wed Jul 03, 2019 | 5:30 AM | England | New Zealand | Riverside Ground, Chester-le-Street | NotPlayedYet |
Thu Jul 04, 2019 | 5:30 AM | Afghanistan | Windies | Headingley, Leeds | NotPlayedYet |
Fri Jul 05, 2019 | 5:30 AM | Pakistan | Bangladesh | Lord's, London | NotPlayedYet |
Sat Jul 06, 2019 | 5:30 AM | Sri Lanka | India | Headingley, Leeds | NotPlayedYet |
Sat Jul 06, 2019 | 8:30 AM | Australia | South Africa | Old Trafford, Manchester | NotPlayedYet |
Tue Jul 09, 2019 | 5:30 AM | TBC | TBC, 1st Semi-Final (1 v 4) | Old Trafford, Manchester | NotPlayedYet |
Thu Jul 11, 2019 | 5:30 AM | TBC | TBC, 2nd Semi-Final (2 v 3) | Edgbaston, Birmingham | NotPlayedYet |
Sun Jul 14, 2019 | 5:30 AM | TBC | TBC, Final | Lord's, London | NotPlayedYet | NotPlayedYet |
