# Date    | Time (NJ)     | Team 1    | Team 2       | Venue                        | Result       | Winning Team | Winning Users | Result |
Sun Oct 18|   8:30 AM IST | Sri Lanka | Qualifier A3 | Kardinia Park, South Geelong | NotPlayedYet |
Sun Oct 18|   1:30 PM IST | Qualifier A2 | Qualifier A4 | Kardinia Park, South Geelong | NotPlayedYet |
Mon Oct 19|   8:30 AM IST | Bangladesh | Qualifier B3 | Bellerive Oval, Tasmania | NotPlayedYet |
Mon Oct 19|   1:30 PM IST | Qualifier B2 | Qualifier B4 | Bellerive Oval, Tasmania | NotPlayedYet |
Tue Oct 20|   8:30 AM IST | Qualifier A3 | Qualifier A4 | Kardinia Park, South Geelong | NotPlayedYet |
Tue Oct 20|   1:30 PM IST | Sri Lanka | Qualifier A2 | Kardinia Park, South Geelong | NotPlayedYet |
Wed Oct 21|   8:30 AM IST | Qualifier B3 | Qualifier B4 | Bellerive Oval, Tasmania | NotPlayedYet |
Wed Oct 21|   1:30 PM IST | Bangladesh | Qualifier B2 | Bellerive Oval, Tasmania | NotPlayedYet |
Thu Oct 22|   8:30 AM IST | Qualifier A2 | Qualifier A3 | Kardinia Park, South Geelong | NotPlayedYet |
Thu Oct 22|   1:30 PM IST | Sri Lanka | Qualifier A4 | Kardinia Park, South Geelong | NotPlayedYet |
Fri Oct 23|   8:30 AM IST | Qualifier B2 | Qualifier B3 | Bellerive Oval, Tasmania | NotPlayedYet |
Fri Oct 23|   1:30 PM IST | Bangladesh | Qualifier B4 | Bellerive Oval, Tasmania | NotPlayedYet |
Sat Oct 24|   1:30 PM IST | Australia | Pakistan | Sydney Cricket Ground, Sydney | NotPlayedYet |
Sat Oct 24|   4:30 PM IST | India | South Africa | Perth Stadium, Perth | NotPlayedYet |
Sun Oct 25|   8:30 AM IST | A1 | B2 | Blundstone Arena, Hobart | NotPlayedYet |
Sun Oct 25|   1:30 PM IST | New Zealand | Windies | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Mon Oct 26|  11:30 AM IST | Afghanistan | A2 | Perth Stadium, Perth | NotPlayedYet |
Mon Oct 26|   4:30 PM IST | England | B1 | Perth Stadium, Perth | NotPlayedYet |
Tue Oct 27|   1:30 PM IST | New Zealand | B2 | Blundstone Arena, Hobart | NotPlayedYet |
Wed Oct 28|  11:30 AM IST | Afghanistan | B1 | Perth Stadium, Perth | NotPlayedYet |
Wed Oct 28|   4:30 PM IST | Australia | Windies | Perth Stadium, Perth | NotPlayedYet |
Thu Oct 29|   8:30 AM IST | Pakistan | A1 | Sydney Cricket Ground, Sydney | NotPlayedYet |
Thu Oct 29|   1:30 PM IST | India | A2 | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Fri Oct 30|   1:30 PM IST | England | South Africa | Sydney Cricket Ground, Sydney | NotPlayedYet |
Fri Oct 30|   4:30 PM IST | Windies | B2 | Perth Stadium, Perth | NotPlayedYet |
Sat Oct 31|   9:30 AM IST | Pakistan | New Zealand | Brisbane Cricket Ground, Brisbane | NotPlayedYet |
Sat Oct 31|   2:30 PM IST | Australia | A1 | Brisbane Cricket Ground, Brisbane | NotPlayedYet |
Sun Nov  1|   9:00 AM IST | South Africa | Afghanistan | Adelaide Oval, Adelaide | NotPlayedYet |
Sun Nov  1|   1:30 PM IST | India | England | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Mon Nov  2|   8:30 AM IST | A2 | B1 | Sydney Cricket Ground, Sydney | NotPlayedYet |
Mon Nov  2|   2:30 PM IST | New Zealand | A1 | Brisbane Cricket Ground, Brisbane | NotPlayedYet |
Tue Nov  3|   9:00 AM IST | Pakistan | Windies | Adelaide Oval, Adelaide | NotPlayedYet |
Tue Nov  3|   2:00 PM IST | Australia | B2 | Adelaide Oval, Adelaide | NotPlayedYet |
Wed Nov  4|   2:30 PM IST | England | Afghanistan | Brisbane Cricket Ground, Brisbane | NotPlayedYet |
Thu Nov  5|   9:00 AM IST | South Africa | A2 | Adelaide Oval, Adelaide | NotPlayedYet |
Thu Nov  5|   2:00 PM IST | India | B1 | Adelaide Oval, Adelaide | NotPlayedYet |
Fri Nov  6|   8:30 AM IST | Pakistan | B2 | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Fri Nov  6|   1:30 PM IST | Australia | New Zealand | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Sat Nov  7|   9:00 AM IST | England | A2 | Adelaide Oval, Adelaide | NotPlayedYet |
Sat Nov  7|   1:30 PM IST | Windies | A1 | Melbourne Cricket Ground, Melbourne | NotPlayedYet |
Sun Nov  8|   8:30 AM IST | South Africa | B1 | Sydney Cricket Ground, Sydney | NotPlayedYet |
Sun Nov  8|   1:30 PM IST | India | Afghanistan | Sydney Cricket Ground, Sydney | NotPlayedYet |
Wed Nov 11|   1:30 PM IST | Semi-final team 1 | Semi-final team 2 | Scheduled to be played at the Sydney Cricket Ground, Sydney | NotPlayedYet |
Thu Nov 12|   2:00 PM IST | Semi-final team 3 | Semi-final team 4 | Scheduled to be played at the Adelaide Oval, Adelaide | NotPlayedYet |
Sun Nov 15|   1:30 PM IST | Final team 1 | Final team 2 | Scheduled to be played at the Melbourne Cricket Ground, Melbourne  | NotPlayedYet |
