# Date                |     Time (NJ)   |    Team 1                                 |    Team 2                                  |    Venue  |    Result          |   Winning Team               |     Winning User(s)                    |
Sat Sep 19, 2020      |     10:00 AM    |    Mumbai Indians   MI              |    Chennai Super Kings   CSK       |    o      |    NotPlayedYet    |                              |
Sun Sep 20, 2020      |     10:00 AM    |    Delhi Capitals   DC            |    Kings XI Punjab   KXIP               |    o      |    NotPlayedYet    |                              |
Mon Sep 21, 2020      |     10:00 AM    |    Sunrisers Hyderabad   SRH                    |    Royal Challengers Bangalore   RCB                     |    o      |    NotPlayedYet    |                              |
Tue Sep 22, 2020      |     10:00 AM    |    Rajasthan Royals   RR                  |    Chennai Super Kings   CSK                  |    o      |    NotPlayedYet    |                              |
Wed Sep 23, 2020      |     10:00 AM    |    Kolkata Knight Riders   KKR                    |    Mumbai Indians   MI               |    o      |    NotPlayedYet    |                              |
Thu Sep 24, 2020      |     10:00 AM    |    Kings XI Punjab   KXIP            |    Royal Challengers Bangalore   RCB                  |    o      |    NotPlayedYet    |                              |
Fri Sep 25, 2020      |     10:00 AM    |    Chennai Super Kings   CSK      |    Delhi Capitals   DC                     |    o      |    NotPlayedYet    |                              |
Sat Sep 26, 2020      |     10:00 AM    |    Kolkata Knight Riders   KKR              |    Sunrisers Hyderabad   SRH                   |    o      |    NotPlayedYet    |                              |
Sun Sep 27, 2020      |     10:00 AM    |    Rajasthan Royals   RR                 |    Kings XI Punjab   KXIP                     |    o      |    NotPlayedYet    |                              |
Mon Sep 28, 2020      |     10:00 AM    |    Royal Challengers Bangalore   RCB                    |    Kolkata Knight Riders   KKR             |    o      |    NotPlayedYet    |                              |
Tue Sep 29, 2020      |     10:00 AM    |    Delhi Capitals   DC              |    Sunrisers Hyderabad   SRH       |    o      |    NotPlayedYet    |                              |
Wed Sep 30, 2020      |     10:00 AM    |    Rajasthan Royals   RR              |    Kolkata Knight Riders   KKR                   |    o      |    NotPlayedYet    |                              |
Thu Oct 01, 2020      |     10:00 AM    |    Kings XI Punjab   KXIP                 |    Mumbai Indians   MI                     |    o      |    NotPlayedYet    |                              |
Fri Oct 02, 2020      |     10:00 AM    |    Chennai Super Kings   CSK                  |    Sunrisers Hyderabad   SRH       |    o      |    NotPlayedYet    |                              |
Sat Oct 03, 2020      |     06:00 AM    |    Royal Challengers Bangalore   RCB                    |    Rajasthan Royals   RR               |    o      |    NotPlayedYet    |                              |
Sat Oct 03, 2020      |     10:00 AM    |    Delhi Capitals   DC                    |    Kolkata Knight Riders   KKR               |    o      |    NotPlayedYet    |                              |
Sun Oct 04, 2020      |     06:00 AM    |    Mumbai Indians   MI      |    Sunrisers Hyderabad   SRH             |    o      |    NotPlayedYet    |                              |
